iter	Passed	Remaining
0	4	436
1	30	1501
2	43	1393
3	51	1231
4	65	1242
5	76	1201
6	88	1177
7	111	1281
8	121	1230
9	140	1265
10	159	1290
11	162	1189
12	172	1154
13	187	1149
14	197	1118
15	209	1101
16	216	1055
17	230	1052
18	233	996
19	236	945
20	241	906
21	247	876
22	251	841
23	261	829
24	268	805
25	280	798
26	284	770
27	287	739
28	292	716
29	343	802
30	366	815
31	378	805
32	382	777
33	388	754
34	406	755
35	424	755
36	467	795
37	481	784
38	508	794
39	520	780
40	547	788
41	554	766
42	561	744
43	590	752
44	601	735
45	604	709
46	641	723
47	648	702
48	650	676
49	693	693
50	698	670
51	746	689
52	754	668
53	766	652
54	770	630
55	777	610
56	803	606
57	814	589
58	818	568
59	859	572
60	866	553
61	878	538
62	884	519
63	888	499
64	908	488
65	919	473
66	923	455
67	930	438
68	992	445
69	1077	461
70	1120	457
71	1134	441
72	1138	421
73	1149	403
74	1161	387
75	1172	370
76	1188	355
77	1191	336
78	1249	332
79	1252	313
80	1259	295
81	1267	278
82	1280	262
83	1288	245
84	1303	229
85	1307	212
86	1366	204
87	1379	188
88	1383	170
89	1389	154
90	1400	138
91	1410	122
92	1412	106
93	1424	90
94	1437	75
95	1442	60
96	1455	45
97	1465	29
98	1470	14
99	1480	0
