,gender,age,salary,other_income,parent_num,child_num,marriage,risk_type,categories_version,ans_type,risk_question_1,risk_question_2,risk_question_3,risk_question_5,risk_question_6,risk_question_7,risk_question_8,risk_question_9,risk_question_10,risk_question_4_1,risk_question_4_2,risk_question_4_3,risk_question_4_4,Art,Band,Chef,Mood,Show,Actor,Brand,Cause,Color,Event,Gamer,Legal,Music,Topic,Artist,Author,Course,Dancer,Editor,Sports,Writer,Athlete,Blogger,Cuisine,Finance,Profile,Science,Comedian,Designer,Diseases,Election,Fan Page,Language,Locality,Musician,Producer,Community,Education,Orchestra,Residence,Scientist,Surgeries,Journalist,Agriculture,Labor Union,Nationality,Real Estate,Social Club,Sports Club,TV & Movies,Visual Arts,Work Status,Armed Forces,Concert Tour,Entrepreneur,Just For Fun,Meeting Room,Talent Agent,Ticket Sales,Work Project,Fashion Model,Film Director,Fitness Model,Literary Arts,Local Service,Musician/Band,Public Toilet,Satire/Parody,Sports Season,Video Creator,Work Position,Not a Business,Campus Building,Digital Creator,Food & Beverage,Harmonized Page,Hotel & Lodging,Performance Art,Performing Arts,Sports Promoter,Theatrical Play,Exchange Program,Medical & Health,News Personality,Spiritual Leader,Books & Magazines,Community Service,Editorial/Opinion,Shopping & Retail,University (NCES),University Status,Media/News Company,Outdoor Recreation,Youth Organization,City Infrastructure,Sports & Recreation,Arts & Entertainment,Charity Organization,Motivational Speaker,Private Members Club,Advertising/Marketing,Sorority & Fraternity,Nonprofit Organization,Religious Organization,Theatrical Productions,Commercial & Industrial,Travel & Transportation,Country Club / Clubhouse,Media Restoration Service,Religious Place of Worship,"Automotive, Aircraft & Boat",Landmark & Historical Place,Public & Government Service,Automated Teller Machine (ATM),"Beauty, Cosmetic & Personal Care","Science, Technology & Engineering",Non-Governmental Organization (NGO),Environmental Conservation Organization
0,2,21,20000,60000,2,0,1,3,1,2,4,3,3,2,3,3,3,3,3,1,0,1,1,0,0,1,0,0,0,40,0,0,1,1,0,2,0,3,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,1,0,10,0,0,0,1,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,2,0,0
2,1,21,13000,6000,2,0,1,2,1,2,4,2,3,2,2,3,2,3,2,1,1,1,1,1,1,0,0,0,0,54,0,0,2,0,2,4,0,4,2,0,0,0,1,4,0,10,0,9,0,0,0,0,0,0,0,0,0,1,0,18,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,16,3,0,0,0,7,0,0,1,0,32,0,8,0,0,0,0,0,4,0,0,0,0,0,9,0,0,11,0,0,0,1,2,0,2,0,5,0,3,0,0,0,4,0,0,0,1,0,1,0,3,10,0,0
4,2,22,25000,360000,4,0,1,4,1,2,4,4,4,4,4,4,4,4,4,0,0,0,1,2,0,0,0,3,1,12,0,0,1,1,0,0,0,2,0,0,0,0,0,3,0,6,0,6,0,0,1,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
6,2,22,25000,0,2,0,1,3,1,3,4,4,1,2,3,3,3,3,4,1,1,0,1,0,1,0,0,0,2,45,0,0,0,0,0,1,0,8,0,0,0,0,1,2,0,4,0,3,0,0,2,0,0,0,0,0,0,0,0,13,21,0,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,6,0,0,0,1,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0
8,2,21,25000,0,2,0,1,2,1,2,4,2,3,3,3,3,3,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,22,22000,0,1,0,1,2,1,2,4,2,3,2,3,1,3,4,2,1,0,0,0,0,0,0,0,0,1,32,0,0,0,1,0,2,0,2,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,1,1,0,5,0,0,0,1,0,0,0,0,0,0,5,0,0,7,0,0,4,0,0,0,2,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12,2,33,10000,30000,1,2,2,2,1,2,3,2,3,3,2,3,3,4,3,1,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,1,45,10000,20000,0,2,2,2,1,3,2,1,3,1,1,3,3,4,4,1,0,0,0,2,1,14,0,0,0,129,0,0,1,0,0,1,0,8,2,0,0,0,0,1,0,12,0,0,0,0,2,0,0,0,0,0,1,0,0,23,0,0,2,0,0,0,4,0,0,3,0,0,18,0,0,0,0,2,5,0,0,0,0,0,0,0,0,7,0,0,0,0,24,0,0,0,0,33,0,3,0,1,0,0,0,3,0,0,5,1,0,41,0,0,14,0,0,0,3,2,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,5,0,1,0
16,2,21,10000,100000,2,0,1,2,1,2,4,1,3,1,3,3,3,3,3,1,0,0,0,2,4,0,0,1,7,82,0,0,0,2,1,10,0,28,0,0,0,0,0,4,10,6,0,1,0,0,3,0,0,0,1,0,1,2,1,21,30,0,2,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,2,0,0,0,13,41,0,0,0,11,0,0,1,1,13,0,1,0,3,0,0,0,6,0,0,2,1,0,21,0,0,6,0,0,1,9,6,0,1,0,4,0,4,0,0,1,1,0,0,0,1,0,2,0,1,13,0,0
18,2,22,70000,0,2,0,1,3,1,2,4,4,3,4,2,3,3,4,3,1,1,1,1,0,0,0,0,0,1,20,0,0,1,1,0,1,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
